system:index,EVI2,GNDVI,MSR,NLI,RDVI,estimateLAI,.geo
0_9,1.0728208564293111,0.4798036995092488,0.886045806450373,0.9997131814965107,28.11820783952509,1.113,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_31,1.141437645431105,0.5088529638183218,0.964247366432098,0.9997355618322026,29.227659464893627,1.151,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_45,0.9476100651315088,0.4992874109263658,0.7538595701517454,0.9997940040729371,32.937269188234055,1.164,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_69,0.799107632666496,0.4551971326164875,0.6117711424771571,0.9997291428212077,27.862102360867883,0.99,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_90,1.188330329127445,0.537082314588427,1.0204581367232242,0.9997402639750069,29.38738502550266,1.087,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_94,0.9217748355469896,0.48484848484848486,0.728136563452469,0.9997469367493255,29.61435787798684,0.966,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_96,1.2220177859552286,0.5598802395209581,1.0622951351564103,0.9997743778930855,31.418398640219923,1.156,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_106,1.1646499567847883,0.564965617082881,0.9917260045157366,0.9997668343961621,31.07891810135839,1.091,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_143,1.1388619463304235,0.4980330448465775,0.9612405886236003,0.9997269501071652,28.76708583047631,1.055,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_145,1.0155847802686386,0.5129533678756477,0.8240278912311829,0.9997578342722936,30.55504712130031,0.775,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_163,0.9655408921053876,0.5236883942766296,0.7720710795219566,0.9997342194542651,29.05436390707859,1.189,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_190,0.9163771493909143,0.5181159420289855,0.7228240729408806,0.9997320062527656,28.754203604569813,0.918,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_206,1.127767949734643,0.48575656677765444,0.9482918697746157,0.9997376377928544,29.363508117849143,1.194,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_231,0.9162960837756419,0.44094733561857274,0.7227616125896758,0.9997085738581024,27.57354801224942,0.938,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_298,1.2080664049045948,0.585554600171969,1.0448486241508463,0.9997406475049673,29.350436794769575,0.999,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_311,1.0950006707507938,0.54524627720504,0.9107274967881759,0.9997969764323704,33.415246555378076,0.926,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_330,0.9417268628496632,0.4597156398104265,0.7480147469502526,0.9997166871281519,28.06499306282541,0.94,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_354,0.8800791496019511,0.47883349012229537,0.6875503213109,0.9997022114040085,27.106194176089428,0.755,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_368,1.026959957596492,0.5278915852505516,0.8361233880016398,0.9997552963118321,30.412504963599968,1.077,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_391,0.9954089029694464,0.4968553459119497,0.802880850935722,0.9997127803796311,28.021062359183254,1.131,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_394,0.8850902184235518,0.5077652013687812,0.6923356641044943,0.9997562015023839,29.986608467290868,1.066,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_415,1.1660542967952645,0.517184265010352,0.9934817860307735,0.9997253242410294,28.63092817168331,1.15,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_470,0.8674974679642434,0.46850629874025196,0.6755116978228723,0.999709021792666,27.35187929932456,0.931,"{""type"":""MultiPoint"",""coordinates"":[]}"
