system:index,EVI2,GVI,MSR,NDGI,RDVI,estimatefCOVER,.geo
0_11,0.817388857625211,1.9514767932489452,0.628536981901793,-0.05341987019470794,28.080050376950425,0.326,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_37,0.3732311150819956,1.412532637075718,0.2636353087613479,-0.20346620450606587,15.430066640223531,0.136,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_46,0.4420432220039293,1.5594563986409966,0.3154750974481142,-0.19323892188213795,15.975619394278485,0.072,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_57,1.2382804450855143,3.415194346289753,1.0829166249916646,-0.008756567425569177,34.67821414930945,0.363,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_137,0.8604004645106802,2.2641711229946524,0.6687335116329137,-0.0792712949286066,30.370327598777855,0.263,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_185,0.9340222575516693,1.9399441340782122,0.7403381793252902,0.014883061658398299,26.64649534715052,0.272,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_190,0.7355832241153342,1.6072644721906926,0.5549581141761039,-0.037684325505188423,23.638855800180576,0.306,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_197,0.9916836821507571,2.5986666666666665,0.798947200774681,-0.05303030303030303,31.37668208853193,0.354,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_203,0.8664365136298423,2.264945652173913,0.6745050993914535,-0.07595731324544884,27.077009014621872,0.232,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_266,0.6793697818475626,1.4746227709190673,0.5063805594660026,-0.04330708661417323,19.791924540822873,0.247,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_305,0.3887597386277959,1.371771217712177,0.2752199646548314,-0.18649155722326455,15.36407866729397,0.053,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_307,0.38749826493314204,1.235897435897436,0.2742982879331757,-0.15857605177993528,12.621306351726457,0.015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_341,0.6158502252252253,1.8137847642079805,0.45313978853002107,-0.14256091238983928,20.919550382791197,0.218,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_342,0.8317586040527502,2.0557491289198606,0.6418577043433075,-0.06260206859009254,27.556555248755423,0.33,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_376,0.9502799025682663,1.940782122905028,0.756581994899915,0.02402745995423341,30.13523321969095,0.287,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_404,0.8801676098319583,1.851305334846765,0.6876233473018429,-5.672149744753262E-4,27.97896760367248,0.314,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_473,0.7089360524859696,1.5211693548387095,0.5317159809030675,-0.03595724003887269,24.027044149764087,0.286,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_486,1.0564582195521575,3.1449044585987265,0.8679604223350632,-0.0858806404657933,32.08886306610886,0.247,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_514,0.6447831184056272,1.927906976744186,0.4771512233242937,-0.14597815292949354,22.509354143669732,0.102,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_566,0.9820345445092716,1.943452380952381,0.7890352845013814,0.04186046511627907,26.692334847281227,0.347,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_577,0.8265768711041367,2.205298013245033,0.637057025033495,-0.08926417370325694,26.316032262053756,0.241,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_603,0.8179815309614212,1.772277227722772,0.6291189140203846,-0.021791767554479417,25.13785597169013,0.27,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_617,0.9810142027429352,2.550834597875569,0.787937725838182,-0.052480230050323505,29.011851026778697,0.255,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_618,0.8829325975561687,2.1762672811059907,0.690264718513893,-0.05291871249318058,29.373102508827515,0.28,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_628,0.4253684366437088,1.367195767195767,0.3027926115736399,-0.16482545293857712,15.413302746235694,0.046,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_629,0.9546408888111277,3.412671232876712,0.7609892198679056,-0.1745583038869258,29.908487183971758,0.332,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_662,0.3186000248663434,1.1675438596491228,0.22338411206172837,-0.1830884987459692,12.772027902770605,0.085,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_670,1.1867726051924798,2.975954738330976,1.0183936790126602,0.012168933428775949,35.84632294803194,0.387,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_701,0.5232687597417056,1.493193717277487,0.37849172118627183,-0.13496376811594202,18.711846156145878,0.129,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_743,1.0021856518385188,2.304860088365243,0.8099481784733851,-0.004398826979472141,28.806230358673357,0.362,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_780,0.8925886143931256,2.732745961820852,0.699598883159307,-0.12748238308776424,28.411294170978916,0.272,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_788,0.44422019074755636,1.3477297895902547,0.3171411783848587,-0.15011764705882352,15.53363563452972,0.085,"{""type"":""MultiPoint"",""coordinates"":[]}"
